Channel Statistics Report
==================================================
Real-time Updates:

https://t.me/s/freestrongvpn.txt              | Total: 4    | Active: 4      | Failed: 0    | Percent: 100.0%
https://t.me/s/outline_ir.txt                 | 22     | 11     | 11     | 50.0%
https://t.me/s/orange_vpns.txt                | 4      | 2      | 2      | 50.0%
https://t.me/s/v2ry_proxy.txt                 | 16     | 8      | 8      | 50.0%
https://t.me/s/v2ray_raha.txt                 | 4      | 2      | 2      | 50.0%
https://t.me/s/artemisvpn1.txt                | 4      | 2      | 2      | 50.0%
https://t.me/s/NEW_MTProxi2.txt               | 26     | 12     | 14     | 46.2%
https://t.me/s/v2rayngfreee.txt               | 9      | 4      | 5      | 44.4%
https://t.me/s/configshub2.txt                | 22     | 9      | 13     | 40.9%
https://t.me/s/ConfigsHUB2.txt                | 22     | 9      | 13     | 40.9%
https://t.me/s/qrv2ray.txt                    | 10     | 4      | 6      | 40.0%
https://t.me/s/v2raytg.txt                    | 26     | 10     | 16     | 38.5%
https://t.me/s/zede_filteri.txt               | 6      | 2      | 4      | 33.3%
https://t.me/s/kingofilter.txt                | 6      | 2      | 4      | 33.3%
https://t.me/s/v2ray_sub.txt                  | 3      | 1      | 2      | 33.3%
https://t.me/s/V2aryng_vpn.txt                | 18     | 6      | 12     | 33.3%
https://t.me/s/free_nettm.txt                 | 7      | 2      | 5      | 28.6%
https://t.me/s/v2ryorg.txt                    | 14     | 4      | 10     | 28.6%
https://t.me/s/azarbayjab1.txt                | 15     | 4      | 11     | 26.7%
https://t.me/s/free1_vpn.txt                  | 8      | 2      | 6      | 25.0%
https://t.me/s/configV2rayForFree.txt         | 8      | 2      | 6      | 25.0%
https://t.me/s/FreakConfig.txt                | 8      | 2      | 6      | 25.0%
https://t.me/s/chv2raynp.txt                  | 12     | 3      | 9      | 25.0%
https://t.me/s/shokhmiplus.txt                | 18     | 4      | 14     | 22.2%
https://t.me/s/v2rayfree.txt                  | 10     | 2      | 8      | 20.0%
https://t.me/s/asak_vpn.txt                   | 15     | 3      | 12     | 20.0%
https://t.me/s/proxy_mtproto_vpns_free.txt    | 10     | 2      | 8      | 20.0%
https://t.me/s/vpnplusee_free.txt             | 22     | 4      | 18     | 18.2%
https://t.me/s/v2rayprotocol.txt              | 22     | 4      | 18     | 18.2%
https://t.me/s/VmessProtocol.txt              | 24     | 4      | 20     | 16.7%
https://t.me/s/meli_proxyy.txt                | 12     | 2      | 10     | 16.7%
https://t.me/s/expressvpn_420.txt             | 73     | 10     | 63     | 13.7%
https://t.me/s/vpnowl.txt                     | 30     | 4      | 26     | 13.3%
https://t.me/s/m_vipv2ray.txt                 | 18     | 2      | 16     | 11.1%
https://t.me/s/summertimeus.txt               | 38     | 4      | 34     | 10.5%
https://t.me/s/v2rayng_1378.txt               | 10     | 1      | 9      | 10.0%
https://t.me/s/V2rayNG3.txt                   | 52     | 5      | 47     | 9.6%
https://t.me/s/v2ray_ng.txt                   | 52     | 5      | 47     | 9.6%
https://t.me/s/v_2rayng0.txt                  | 12     | 1      | 11     | 8.3%
https://t.me/s/WedBaZvpn.txt                  | 13     | 1      | 12     | 7.7%
https://t.me/s/v2raying.txt                   | 14     | 1      | 13     | 7.1%
https://t.me/s/dr_v2ray.txt                   | 29     | 2      | 27     | 6.9%
https://t.me/s/free_vpn_for_all_of_us.txt     | 19     | 1      | 18     | 5.3%
https://t.me/s/FarahVPN.txt                   | 14     | 0      | 14     | 0.0%
https://t.me/s/vmesskhodam.txt                | 27     | 0      | 27     | 0.0%
https://t.me/s/farahvpn.txt                   | 14     | 0      | 14     | 0.0%
https://t.me/s/vistav2ray.txt                 | 13     | 0      | 13     | 0.0%
https://t.me/s/v2ray_best_iran.txt            | 20     | 0      | 20     | 0.0%
https://t.me/s/vpn4ir_1.txt                   | 2      | 0      | 2      | 0.0%
https://t.me/s/V2ra_ng_iran.txt               | 11     | 0      | 11     | 0.0%
